"stimulus_file","condition","target_v","target_a","perceived_v__Generic-listener control","perceived_v__Neutral control","perceived_v__OCEAN audience","perceived_a__Generic-listener control","perceived_a__Neutral control","perceived_a__OCEAN audience","alignment_distance__Generic-listener control","alignment_distance__Neutral control","alignment_distance__OCEAN audience","neutral_minus_ocean_v","neutral_minus_ocean_a","neutral_minus_ocean_d","generic_minus_ocean_v","generic_minus_ocean_a","generic_minus_ocean_d"
"B01_run0_nonopt.wav","non_optimised",0.193,0.173,0.5,0.5,0.177083333333333,1,1,0.625,0.882143979178002,0.882143979178002,0.646935409651792,0.322916666666667,0.375,0.23520856952621,0.322916666666667,0.375,0.23520856952621
"B01_run0_opt.wav","optimised",0.193,0.173,0.5,0.5,0.192708333333333,1,1,0.614583333333333,0.882143979178002,0.882143979178002,0.624627646666317,0.307291666666667,0.385416666666667,0.257516332511685,0.307291666666667,0.385416666666667,0.257516332511685
"B01_run1_nonopt.wav","non_optimised",0.193,0.173,0.5,0.666666666666667,0.2109375,1,1,0.604166666666667,0.882143979178002,0.973262328250365,0.655019586035951,0.455729166666667,0.395833333333333,0.318242742214413,0.2890625,0.395833333333333,0.227124393142051
"B01_run1_opt.wav","optimised",0.193,0.173,1,1,0.645833333333333,1,1,0.692708333333333,1.15549902639509,1.15549902639509,0.727348670384497,0.354166666666667,0.307291666666667,0.428150356010592,0.354166666666667,0.307291666666667,0.428150356010592
"B01_run2_nonopt.wav","non_optimised",0.193,0.173,0.5,0.5,0.265625,1,1,0.630208333333333,0.882143979178002,0.882143979178002,0.627014820412084,0.234375,0.369791666666667,0.255129158765919,0.234375,0.369791666666667,0.255129158765919
"B01_run2_opt.wav","optimised",0.193,0.173,1,1,0.71875,1,1,0.833333333333333,1.15549902639509,1.15549902639509,0.86259035462917,0.28125,0.166666666666667,0.292908671765919,0.28125,0.166666666666667,0.292908671765919
"B02_run0_nonopt.wav","non_optimised",0.263,0.12,0.5,0.833333333333333,0.53125,1,1,0.604166666666667,0.911355583732277,1.06902125111307,0.612472911189431,0.302083333333333,0.395833333333333,0.456548339923638,-0.03125,0.395833333333333,0.298882672542846
"B02_run0_opt.wav","optimised",0.263,0.12,1,1,0.723958333333333,1,1,0.90625,1.14785408480346,1.14785408480346,0.938555209551156,0.276041666666667,0.09375,0.209298875252309,0.276041666666667,0.09375,0.209298875252309
"B02_run1_nonopt.wav","non_optimised",0.263,0.12,0.5,0.666666666666667,0.489583333333333,1,1,0.515625,0.911355583732277,0.990188417422673,0.570164846581938,0.177083333333333,0.484375,0.420023570840735,0.0104166666666667,0.484375,0.34119073715034
"B02_run1_opt.wav","optimised",0.263,0.12,0.833333333333333,1,0.598958333333333,1,1,0.666666666666667,1.06902125111307,1.14785408480346,0.694261601908747,0.401041666666667,0.333333333333333,0.453592482894718,0.234375,0.333333333333333,0.374759649204322
"B02_run2_nonopt.wav","non_optimised",0.263,0.12,0,0,0.104166666666667,1,1,0.208333333333333,0.918460124338558,0.918460124338558,0.419435336873063,-0.104166666666667,0.791666666666667,0.499024787465495,-0.104166666666667,0.791666666666667,0.499024787465495
"B02_run2_opt.wav","optimised",0.263,0.12,1,1,0.723958333333333,1,1,0.875,1.14785408480346,1.14785408480346,0.906485697692033,0.276041666666667,0.125,0.241368387111432,0.276041666666667,0.125,0.241368387111432
"B03_run0_nonopt.wav","non_optimised",0.158,0.213,0,0.166666666666667,0.0807291666666667,0,0.166666666666667,0.109375,0.265203695298538,0.325624878212108,0.31797284712112,0.0859375,0.0572916666666667,0.00765203109098772,-0.0807291666666667,-0.109375,-0.0527691518225816
"B03_run0_opt.wav","optimised",0.158,0.213,0,0,0.0677083333333333,0,0,0.114583333333333,0.265203695298538,0.265203695298538,0.329517690378274,-0.0677083333333333,-0.114583333333333,-0.0643139950797351,-0.0677083333333333,-0.114583333333333,-0.0643139950797351
"B03_run1_nonopt.wav","non_optimised",0.158,0.213,0,0,0.0703125,0,0,0.09375,0.265203695298538,0.265203695298538,0.320414053937559,-0.0703125,-0.09375,-0.0552103586390204,-0.0703125,-0.09375,-0.0552103586390204
"B03_run1_opt.wav","optimised",0.158,0.213,0,0,0.0625,0,0,0.0989583333333333,0.265203695298538,0.265203695298538,0.326044951510733,-0.0625,-0.0989583333333333,-0.0608412562121949,-0.0625,-0.0989583333333333,-0.0608412562121949
"B03_run2_nonopt.wav","non_optimised",0.158,0.213,0,0,0.0729166666666667,0.333333333333333,0,0.078125,0.444370315778393,0.265203695298538,0.297967921953458,-0.0729166666666667,-0.078125,-0.0327642266549192,-0.0729166666666667,0.255208333333333,0.146402393824935
"B03_run2_opt.wav","optimised",0.158,0.213,0,0,0.0625,0,0,0.125,0.265203695298538,0.265203695298538,0.337516310668445,-0.0625,-0.125,-0.0723126153699069,-0.0625,-0.125,-0.0723126153699069
